Continent,Name
North America,Mexico
North America,Canada
North America,Guatemala
North America,Cuba
North America,Dominican Republic
North America,Haiti
North America,Honduras
North America,El Salvador
North America,Nicaragua
North America,Costa Rica
North America,Puerto Rico
North America,Panama
North America,Jamaica
North America,Trinidad and Tobago
North America,Guadeloupe
North America,Martinique
North America,Bahamas
North America,Barbados
North America,Belize
North America,Netherlands Antilles
North America,Saint Lucia
North America,Saint Vincent and the Grenadines
North America,Aruba
North America,Grenada
North America,"Virgin Islands, U.S."
North America,Dominica
North America,Antigua and Barbuda
North America,Bermuda
North America,Greenland
North America,Saint Kitts and Nevis
North America,Cayman Islands
North America,"Virgin Islands, British"
North America,Turks and Caicos Islands
North America,Montserrat
North America,Anguilla
North America,Saint Pierre and Miquelon
